date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2021-04-28,False,True,0.41,340,1000,250,2cd,1,1008.4,-0.0,1008.4,1258.4,-12438.74448,-12438.74448,-11475.874740869564,0.0,0.0,962.8697391304358,28886.092173913075,-48000,-48000,-48000,0,0,0.14121317591062074,0.0,-0.0
2021-04-29,False,True,0.41,340,1000,250,2cd,1,1371.2,-0.0,1371.2,1484.6,-15809.153999999999,-15809.153999999999,-14846.284260869563,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-04-30,False,True,0.41,340,1000,250,2cd,1,1404.4,-0.0,1404.4,1508.4,-14803.540980000002,-14803.540980000002,-13840.671240869566,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-05-01,False,True,0.41,340,1000,250,2cd,1,1198.8,-0.0,1198.8,1317.4,-12249.30174,-12249.30174,-11286.432000869563,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-05-02,False,True,0.41,340,1000,250,2cd,1,1261.6,-0.0,1261.6,1511.6,-11710.8927,-11710.8927,-10748.022960869564,0.0,0.0,962.8697391304358,28886.092173913075,-48000,-48000,-48000,0,0,0.14121317591062074,0.0,-0.0
2021-07-04,False,True,0.41,340,1000,250,2cd,1,1611.0,-0.0,1611.0,1600.0,-16633.1641,-16633.1641,-15699.68101986226,0.0,0.0,933.4830801377412,28004.49240413224,-48000,-48000,-48000,0,0,0.13516999660926474,0.0,-0.0
2021-07-05,False,True,0.41,340,1000,250,2cd,1,1370.0,-0.0,1370.0,1496.0,-15758.474859999998,-15758.474859999998,-14795.605120869563,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-07-06,False,True,0.41,340,1000,250,2cd,1,1333.0,-0.0,1333.0,1454.0,-16918.8811,-16918.8811,-15956.011360869563,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-07-20,False,True,0.41,340,1000,250,2cd,1,1451.0,-0.0,1451.0,1600.0,-17775.9433,-17775.9433,-16813.07356086956,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-07-21,False,True,0.41,340,1000,250,2cd,1,1499.0,-0.0,1499.0,1600.0,-18317.8715,-18317.8715,-17355.001760869567,0.0,0.0,962.8697391304339,28886.092173913017,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-07-22,False,True,0.41,340,1000,250,2cd,1,1564.0,-0.0,1564.0,1600.0,-17332.5375,-17332.5375,-16383.373540598259,0.0,0.0,949.163959401738,28474.918782052133,-48000,-48000,-48000,0,0,0.13840038880530248,0.0,-0.0
2021-07-23,False,True,0.41,340,1000,250,2cd,1,1623.0,-0.0,1623.0,1600.0,-15595.642200000002,-15595.642200000002,-14666.00286347826,0.0,0.0,929.6393365217407,27889.180095652227,-48000,-48000,-48000,0,0,0.13437610595774108,0.0,-0.0
2021-04-28,False,True,0.41,340,1500,375,2cd,1,1008.4,-0.0,1008.4,1383.4,-12438.74448,-12438.74448,-10994.439871304348,0.0,0.0,1444.3046086956529,43329.13826086959,-48000,-48000,-48000,0,0,0.14121317591061966,0.0,-0.0
2021-04-29,False,True,0.41,340,1500,375,2cd,1,1371.2,-0.0,1371.2,1600.0,-15809.154,-15809.154,-14364.849391304351,0.0,0.0,1444.3046086956492,43329.138260869484,-48000,-48000,-48000,0,0,0.14121317591061874,0.0,-0.0
2021-04-30,False,True,0.41,340,1500,375,2cd,1,1404.4,-0.0,1404.4,1600.0,-14803.540980000002,-14803.540980000002,-13359.236371304349,0.0,0.0,1444.304608695651,43329.138260869535,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-05-01,False,True,0.41,340,1500,375,2cd,1,1198.8,-0.0,1198.8,1442.4,-12249.30174,-12249.30174,-10804.997131304348,0.0,0.0,1444.304608695651,43329.138260869535,-48000,-48000,-48000,0,0,0.14121317591061922,0.0,-0.0
2021-05-02,False,True,0.41,340,1500,375,2cd,1,1261.6,-0.0,1261.6,1600.0,-11710.8927,-11710.8927,-10266.588091304347,0.0,0.0,1444.3046086956529,43329.13826086959,-48000,-48000,-48000,0,0,0.14121317591061966,0.0,-0.0
2021-07-04,False,True,0.41,340,1500,375,2cd,1,1611.0,-0.0,1611.0,1600.0,-16633.1641,-16633.1641,-15263.561761601391,0.0,0.0,1369.6023383986105,41088.07015195831,-48000,-48000,-48000,0,0,0.13094400855247645,0.0,-0.0
